Date,Record Number,Record Type,Address,Description,Project Name,Expiration Date,Status,Action,Short Notes
01/25/2021,HC-BTR-21-0006890,Commercial Roof Trade Permit,"6909 Indian River Dr, Tampa 33617","Apartment building flat reroof. Remove modified roof system down to the wood deck. install GAF 1"" ISO directly to wood deck. Install GAF .060 with two plates and screws.",,04/06/2022,Complete,,,
01/25/2021,HC-BTR-21-0006743,Commercial Roof Trade Permit,"14016 N Florida Ave, -14024, Tampa 33613",Re-roof mansard roof with Atlas p&s underlayment FL17322 and dimensional shingles FL16305 and flat roof - roof over with crush fna-fold and Duro-Last single ply membrane system FL16039,,08/15/2021,Complete,,,
01/22/2021,HC-BTR-21-0006678-3,Commercial Roof Trade Permit,"3602 Carrollwood Place Cir, Tampa 33624",3602 Carrollwood Place Circle BLDG 7 REROOF,BLDG 7 REROOF,10/04/2021,Complete,,,
01/22/2021,HC-BTR-21-0006678-2,Commercial Roof Trade Permit,"3602 Carrollwood Place Cir, Tampa 33624",3602 Carrollwood Place Circle BLDG 5 REROOF,BLDG 5 REROOF,10/04/2021,Complete,,,
01/22/2021,HC-BTR-21-0006678-1,Commercial Roof Trade Permit,"3602 Carrollwood Place Cir, Tampa 33624",3602 Carrollwood Place Circle BLDG 4,BLDG 4 REROOF,10/04/2021,Complete,,,
01/22/2021,HC-BTR-21-0006678,Commercial Roof Trade Permit,"3602 Carrollwood Place Cir, Tampa 33624","*Bldgs 4,5,7, Clubhouse* Remove existing roofing. Repair and re-nail decking. Install new underlayment and asphalt shingles.",CLUBHOUSE,10/04/2021,Complete,,,
01/22/2021,HC-BTR-21-0006602,Commercial Roof Trade Permit,"3910 E US Highway 92, Plant City 33566",REMOVE EXISTING METAL ROOF AND RE-ROOF METAL,,10/04/2021,Complete,,,
01/22/2021,HC-BTR-21-0006597,Commercial Roof Trade Permit,"431 19th Ave NE, Ruskin 33570",Roof Recover - 72000 SQFT. Remove all existing loose gravel & any wet/damaged existing roof components from BUR. Install Firestone 60 MIL Ultraply Mech Attached Roofing System. FL-10264-R14.,,10/04/2021,Complete,,,
01/22/2021,HC-BTR-21-0006584,Commercial Roof Trade Permit,"4210 E US Highway 92, Plant City 33566",ROOF OVERLAYMENT. INSTALLATION OF A NEW ROOF OVER EXISTING ROOF. 70SQUARE LOW SLOPE DUROLAST PVC SINGLE PLY ROOF SYSTEMS (FL#16039.1),,10/04/2021,Complete,,,
01/22/2021,HC-BTR-21-0006536,Commercial Roof Trade Permit,"8109 E Adamo Dr, Tampa 33619",Roof over using GAF TPO single ply membrane,,10/04/2021,Complete,,,
01/22/2021,HC-BTR-21-0006535,Commercial Roof Trade Permit,"8109 E Adamo Dr, Tampa 33619",Roof over using single ply TPO membrane.,,10/04/2021,Complete,,,
01/21/2021,HC-BTR-21-0006532,Commercial Roof Trade Permit,"1903 E 142nd Ave, Tampa 33613",Re-roof/peel-n-stick Underlayment with Tamko dimensional shingles,,04/11/2022,Complete,,,
01/21/2021,HC-BTR-21-0006451,Commercial Roof Trade Permit,"7209 N Manhattan Ave, Tampa 33614",remove and replace shingles 110 SQUARES,,04/10/2022,Complete,,,
01/21/2021,HC-BTR-21-0006424,Commercial Roof Trade Permit,"6158 Beacon Isles Dr, Tampa 33615",REROOF WITH CERTAINTEED ASPHALT SHINGLES FL54444-R16,ROOF,04/10/2022,Complete,,,
01/21/2021,HC-BTR-21-0006343,Commercial Roof Trade Permit,"8222 N US Highway 301, Tampa 33637","re-roof modified and shingle, flat roof Adding35 squares of modified and 10 squares to original permit #ROF77933",ROOF,04/09/2022,Expired,,,
01/20/2021,HC-BTR-21-0006282,Commercial Roof Trade Permit,"6434 Cypressdale Dr, Unit 101, Riverview 33578",Re-roof; Remove & dispose of existing roofing material. Replace any bad wood. Re-nail deck to code as required. Dry-in with APOC underlayment per FL26482-R6. Install GAF Timberline shingles per FL10124-R28. 103 SQUARES. 5/12 PITCH.,,07/31/2022,Complete,,,
01/20/2021,HC-BTR-21-0006279,Commercial Roof Trade Permit,"6437 Cypressdale Dr, Unit 101, Riverview 33578",Re-roof; Remove & dispose of existing roofing material. Replace any bad wood. Re-nail deck to code as required. Dry-in with APOC underlayment per FL26482-R6. Install GAF Timberline shingles per FL10124-R28. 72 SQUARES. 5/12 PITCH.,,07/31/2022,Complete,,,
01/20/2021,HC-BTR-21-0000355,Commercial Roof Trade Permit,"7706 W Hillsborough Ave, Tampa 33615",COM/CARLISLE TPO ROOFING MATERIAL,JAMES C GARRETT,03/08/2022,Expired,,,
01/19/2021,HC-BTR-21-0000080,Commercial Roof Trade Permit,"5339 County Road 579, Seffner 33584",Remove existing roofing. Install new tapered polyisocyanurate insulation and Siplast modified bitumen roofing system.,,04/18/2022,Complete,,,
01/19/2021,HC-BTR-21-0000017,Commercial Roof Trade Permit,"1402 E Bearss Ave, Lutz 33549",Reroof 125 sqs with Polyglass IRXE Underlayment FL5259.1 and GAF Shingles FL10124.1 Pitch 5/12.,,04/17/2022,Complete,,,
